Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-07-05,HCLTECH.NS,1202.6,1187.6,1194.0,1194.8,1180.7166666666665,1201.233333333333,1167.433333333333,1214.5166666666664,1146.9166666666665,False
2023-07-06,HCLTECH.NS,1198.0,1174.95,1194.8,1180.65,1180.7166666666665,1201.233333333333,1167.433333333333,1214.5166666666664,1146.9166666666665,False
2023-07-07,HCLTECH.NS,1182.95,1153.8,1178.15,1157.6,1180.7166666666665,1201.233333333333,1167.433333333333,1214.5166666666664,1146.9166666666665,False
2023-07-10,HCLTECH.NS,1161.9,1120.0,1160.0,1124.5,1171.3333333333333,1188.8666666666666,1140.0666666666666,1220.1333333333332,1122.5333333333333,False
2023-07-11,HCLTECH.NS,1131.75,1112.0,1131.75,1114.9,1171.3333333333333,1188.8666666666666,1140.0666666666666,1220.1333333333332,1122.5333333333333,False
2023-07-12,HCLTECH.NS,1124.5,1102.45,1119.7,1110.55,1171.3333333333333,1188.8666666666666,1140.0666666666666,1220.1333333333332,1122.5333333333333,False
2023-07-13,HCLTECH.NS,1124.4,1087.05,1100.0,1108.8,1171.3333333333333,1188.8666666666666,1140.0666666666666,1220.1333333333332,1122.5333333333333,False
2023-07-14,HCLTECH.NS,1157.1,1111.55,1114.2,1150.95,1171.3333333333333,1188.8666666666666,1140.0666666666666,1220.1333333333332,1122.5333333333333,False
2023-07-17,HCLTECH.NS,1172.0,1143.65,1151.95,1153.75,1133.3,1179.55,1104.6999999999998,1208.15,1058.4499999999998,False
2023-07-18,HCLTECH.NS,1170.0,1146.4,1158.95,1167.2,1133.3,1179.55,1104.6999999999998,1208.15,1058.4499999999998,False
2023-07-19,HCLTECH.NS,1174.9,1157.0,1165.0,1169.05,1133.3,1179.55,1104.6999999999998,1208.15,1058.4499999999998,False
2023-07-20,HCLTECH.NS,1162.8,1148.0,1160.0,1155.8,1133.3,1179.55,1104.6999999999998,1208.15,1058.4499999999998,False
2023-07-21,HCLTECH.NS,1139.9,1095.0,1110.0,1115.45,1133.3,1179.55,1104.6999999999998,1208.15,1058.4499999999998,False
2023-07-24,HCLTECH.NS,1127.7,1111.0,1120.0,1112.9,1128.45,1161.9,1082.0,1208.3500000000001,1048.55,False
2023-07-25,HCLTECH.NS,1119.0,1105.1,1118.5,1111.55,1128.45,1161.9,1082.0,1208.3500000000001,1048.55,False
2023-07-26,HCLTECH.NS,1120.85,1110.1,1110.2,1115.0,1128.45,1161.9,1082.0,1208.3500000000001,1048.55,False
2023-07-27,HCLTECH.NS,1122.7,1108.95,1115.0,1117.35,1128.45,1161.9,1082.0,1208.3500000000001,1048.55,False
2023-07-28,HCLTECH.NS,1118.5,1097.45,1114.05,1103.55,1128.45,1161.9,1082.0,1208.3500000000001,1048.55,False
2023-07-31,HCLTECH.NS,1119.5,1096.0,1108.0,1116.7,1109.5666666666666,1121.6833333333332,1091.4333333333332,1139.8166666666666,1079.3166666666666,False
2023-08-01,HCLTECH.NS,1142.0,1111.9,1120.0,1138.5,1109.5666666666666,1121.6833333333332,1091.4333333333332,1139.8166666666666,1079.3166666666666,True
2023-08-02,HCLTECH.NS,1137.0,1121.5,1137.0,1130.9,1109.5666666666666,1121.6833333333332,1091.4333333333332,1139.8166666666666,1079.3166666666666,False
2023-08-03,HCLTECH.NS,1135.55,1115.05,1126.0,1125.5,1109.5666666666666,1121.6833333333332,1091.4333333333332,1139.8166666666666,1079.3166666666666,False
2023-08-04,HCLTECH.NS,1152.35,1126.0,1130.45,1144.35,1109.5666666666666,1121.6833333333332,1091.4333333333332,1139.8166666666666,1079.3166666666666,False
2023-08-07,HCLTECH.NS,1155.75,1143.15,1154.55,1150.8,1130.8999999999999,1165.7999999999997,1109.4499999999998,1187.2499999999998,1074.55,False
2023-08-08,HCLTECH.NS,1156.9,1137.0,1154.9,1141.35,1130.8999999999999,1165.7999999999997,1109.4499999999998,1187.2499999999998,1074.55,False
2023-08-09,HCLTECH.NS,1146.0,1125.0,1140.95,1144.15,1130.8999999999999,1165.7999999999997,1109.4499999999998,1187.2499999999998,1074.55,False
2023-08-10,HCLTECH.NS,1144.8,1128.65,1140.0,1134.3,1130.8999999999999,1165.7999999999997,1109.4499999999998,1187.2499999999998,1074.55,False
2023-08-11,HCLTECH.NS,1186.95,1154.3,1160.0,1171.45,1130.8999999999999,1165.7999999999997,1109.4499999999998,1187.2499999999998,1074.55,False
2023-08-14,HCLTECH.NS,1177.0,1154.0,1170.65,1171.0,1161.1333333333332,1197.2666666666664,1135.3166666666664,1223.0833333333333,1099.1833333333332,False
2023-08-16,HCLTECH.NS,1186.25,1170.1,1175.75,1177.15,1161.1333333333332,1197.2666666666664,1135.3166666666664,1223.0833333333333,1099.1833333333332,False
2023-08-17,HCLTECH.NS,1180.95,1163.95,1176.85,1176.7,1161.1333333333332,1197.2666666666664,1135.3166666666664,1223.0833333333333,1099.1833333333332,False
2023-08-18,HCLTECH.NS,1177.85,1158.65,1173.0,1173.7,1161.1333333333332,1197.2666666666664,1135.3166666666664,1223.0833333333333,1099.1833333333332,False
2023-08-21,HCLTECH.NS,1188.9,1168.95,1172.95,1179.25,1171.3166666666666,1188.6333333333332,1156.3833333333332,1203.5666666666666,1139.0666666666666,False
2023-08-22,HCLTECH.NS,1187.0,1176.15,1182.0,1179.5,1171.3166666666666,1188.6333333333332,1156.3833333333332,1203.5666666666666,1139.0666666666666,False
